(c) Die Bundeswahlleiterin, Wiesbaden 2025;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);
;
Bundestagswahl 2025;
Vorläufiges Ergebnis;
Nr;Gebiet;gehört zu;Gewählt;Wahlberechtigte;;;;Wählende;;;;Ungültige Stimmen;;;;Gültige Stimmen;;;;Sozialdemokratische Partei Deutschlands;;;;Christlich Demokratische Union Deutschlands;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Christlich-Soziale Union in Bayern e.V.;;;;Die Linke;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Basisdemokratische Partei Deutschland;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Die Gerechtigkeitspartei – Team Todenhöfer;;;;Piratenpartei Deutschland;;;;Volt Deutschland;;;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;;;Südschleswigscher Wählerverband;;;;Partei für Verjüngungsforschung;;;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;;;Bündnis C - Christen für Deutschland;;;;Bayernpartei;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Menschliche Welt - für das Wohl und Glücklichsein aller;;;;Partei des Fortschritts;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;Bürgerrechtsbewegung Solidarität;;;;BÜNDNIS DEUTSCHLAND;;;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;;;WerteUnion;;;;Übrige;;;;
018;Hamburg-Mitte;02;Sozialdemokratische Partei Deutschlands;243951;242078;243951;242078;189434;179637;189434;179637;1683;1439;1102;1082;187751;178198;188332;178555;51536;59229;41803;51170;31829;23231;29588;19982;40344;46326;38169;49791;6539;14424;7745;18723;19898;8664;19813;9100;;;;;31014;16195;35750;15593;1467;1340;666;974;;;1826;2486;;2940;;2396;;4251;1065;2494;;;;2019;;;;905;4688;;3022;1137;;704;;370;;;;;;;;;;;;275;;;;;;;;;436;194;129;70;;;;;;;;;;;;;;;;;;;242;;;;8514;;;;;;;;;;;700;;1070;
019;Hamburg-Altona;02;BÜNDNIS 90/DIE GRÜNEN;188984;187705;188984;187705;158772;152720;158772;152720;1234;837;677;625;157538;151883;158095;152095;36910;43427;32490;38865;33392;25441;30863;22478;43349;45063;37452;46162;5278;12380;7377;16543;11902;5191;11596;5036;;;;;25270;14716;28455;13667;1029;756;362;524;;;1134;1405;;2619;;2237;;;603;1593;;;;1054;;1351;;571;;;2263;886;;571;;246;;;;;;;;;;;;129;;;;;;;;;408;209;101;84;;;;;;;;;;;;;;;;;;;155;;;;5244;;;;;;;;;;;159;;615;
020;Hamburg-Eimsbüttel;02;BÜNDNIS 90/DIE GRÜNEN;194724;193823;194724;193823;165711;160970;165711;160970;1139;931;674;605;164572;160039;165037;160365;42720;47375;36884;44911;34476;27462;33328;23843;45766;47734;39549;47983;6658;12957;8099;18190;12671;5450;12450;5662;;;;;20727;11351;23991;10847;1554;998;472;761;;;1319;1682;;2400;;1895;;2334;633;1358;;;;850;;;;500;;1391;2703;906;;450;;235;;;;;;;;;;;;149;;;;;;;;;;137;66;47;;;;;;;;;;;;;;;;;;;166;;;;5377;;;;;;;;;;;0;;546;
021;Hamburg-Nord;02;Christlich Demokratische Union Deutschlands;222153;219909;222153;219909;190233;185457;190233;185457;1167;1234;728;766;189066;184223;189505;184691;50336;56594;42685;51575;53094;43870;49436;34387;42876;47375;39931;46531;7028;15786;11090;26247;15266;6259;15782;6811;;;;;14915;9095;19315;8741;1376;1540;590;939;;;1492;1893;;3258;;2535;;;624;1443;;;;875;;;;606;4175;;2635;948;;;;292;;;;;;;;;;;;182;;;;;;;;;;174;46;48;;;;;;;;;;;;;;;;;;;179;;;;5700;;;;;;;;;;;272;;638;
022;Hamburg-Wandsbek;02;Sozialdemokratische Partei Deutschlands;230495;233483;230495;233483;179893;174014;179893;174014;1751;1678;1019;1193;178142;172336;178874;172821;57591;66616;44504;59298;43928;33085;39925;29103;23210;26599;25956;32134;5710;15755;7345;19225;25873;11490;25266;11290;;;;;18926;10629;20488;8852;2455;;935;1084;;;2168;2561;;3054;;2481;;;830;1615;;;;1871;;2068;;1048;;1834;2656;812;;880;;427;;;;;;;;;;;;235;;;;;;;;;449;117;83;49;;;;;;;;;;;;;;;;;;;254;;;;8464;;;;;;;;;;;209;;736;
023;Hamburg-Bergedorf – Harburg;02;Sozialdemokratische Partei Deutschlands;218953;221794;218953;221794;166191;158246;166191;158246;1733;1601;1165;1229;164458;156645;165026;157017;52896;61590;39198;52523;35154;26483;33642;25427;19091;24231;20704;27931;4152;13301;5422;15674;28958;12774;28556;12638;;;;;18994;10521;22931;9878;1813;2109;855;1319;;;1768;2298;;2988;;2417;;;762;1644;;;;2283;;;;747;3050;1251;2276;740;;1061;;446;;;;;;;;;;;;233;;;;;;;;;350;131;105;50;;;;;;;;;;;;;;;;;;;279;;;;8528;;;;;;;;;;;205;;769;
02;Hamburg;99;;1299260;1298792;1299260;1298792;1050234;1011044;1050234;1011044;8707;7720;5365;5500;1041527;1003324;1044869;1005544;291989;334831;237564;298342;231873;179572;216782;155220;214636;237328;201761;250532;35365;84603;47078;114602;114568;49828;113463;50537;;;;;129846;72507;150930;67578;9694;6743;3880;5601;;;9707;12325;;17259;;13961;;6585;4517;10147;;;;8952;;3419;;4377;11913;4476;15555;5429;;3666;;2016;;;;;;;;;;;;1203;;;;;;;;;1643;962;530;348;;;;;;;;;;;;;;;;;;;1275;;;;41827;;;;;;;;;;;1545;;4374;
;
024;Aurich – Emden;03;Sozialdemokratische Partei Deutschlands;189800;191846;189800;191846;155709;137847;155709;137847;1282;2286;1024;1653;154427;135561;154685;136194;63565;71596;44286;59038;34069;24019;36007;24066;7791;12652;12748;17668;3569;11798;5052;12113;31160;;32478;11173;;;;;8949;4861;11682;4671;;4205;1316;1769;4303;4162;2530;2220;;2156;388;1027;;;642;1130;;;;149;;;249;430;;;594;198;;;;82;;;;;;;;;;;72;86;;;;;;;;;;;34;18;;;;;;;;;;;;;;;;;;;161;;;;6446;;;;;;;;;;1021;112;;356;
025;Unterems;03;Christlich Demokratische Union Deutschlands;237527;238506;237527;238506;198291;175826;198291;175826;1448;2079;1067;1550;196843;173747;197224;174276;44288;49440;42893;59229;79773;77143;64643;52067;13738;16434;14267;18576;4977;10763;7717;17671;40000;13584;41176;14248;;;;;10835;4358;12955;4650;3232;;1428;856;;;2081;2044;;1866;540;1619;;;863;1649;;;;211;;;271;534;;;677;334;;;;58;;;;;;;;;;;102;103;;;;;;;;;;;27;18;;;;;;;;;;;;;;;;;;;240;;;;7344;;;;;;;;;;;159;;409;
