(c) Die Bundeswahlleiterin, Wiesbaden 2025;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);
;
Bundestagswahl 2025;
Vorläufiges Ergebnis;
Nr;Gebiet;gehört zu;Gewählt;Wahlberechtigte;;;;Wählende;;;;Ungültige Stimmen;;;;Gültige Stimmen;;;;Sozialdemokratische Partei Deutschlands;;;;Christlich Demokratische Union Deutschlands;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Christlich-Soziale Union in Bayern e.V.;;;;Die Linke;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Basisdemokratische Partei Deutschland;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Die Gerechtigkeitspartei – Team Todenhöfer;;;;Piratenpartei Deutschland;;;;Volt Deutschland;;;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;;;Südschleswigscher Wählerverband;;;;Partei für Verjüngungsforschung;;;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;;;Bündnis C - Christen für Deutschland;;;;Bayernpartei;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Menschliche Welt - für das Wohl und Glücklichsein aller;;;;Partei des Fortschritts;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;Bürgerrechtsbewegung Solidarität;;;;BÜNDNIS DEUTSCHLAND;;;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;;;WerteUnion;;;;Übrige;;;;
068;Harz;15;Alternative für Deutschland;200217;207942;200217;207942;154072;138572;154072;138572;2049;1728;1249;1522;152023;136844;152823;137050;21243;34812;17601;37330;35708;37884;29903;30508;4958;6320;5858;7495;3405;10064;4178;12532;59306;24947;56490;24790;;;;;18076;14413;15487;12700;4377;4972;2180;2840;;;;1736;;3160;;2621;2332;;1528;934;;;;;;;;435;;;721;178;;;;78;;;;;;;;;;;;129;;;;;;;;;;;153;91;;;;;;;;;;;;;;;;;2618;;834;;;;17890;;;;;;;;;;;272;;2653;
069;Magdeburg;15;Alternative für Deutschland;222983;229198;222983;229198;174468;156789;174468;156789;2419;1497;1239;1405;172049;155292;173229;155384;29618;39233;21865;41022;39726;34177;32205;28700;10305;14381;12271;16352;4647;12139;5231;14673;55457;23398;52629;23446;;;;;25560;15137;23224;16449;3984;2430;1794;2060;;;;1464;;2247;;2021;;2081;1769;1737;;;;;;;;654;;;1901;578;;302;;192;;;;;;;;;;;;282;;;;;;;;;843;221;240;173;;;;;;;;;;;;;;;;;1909;;639;;;;19461;;;;;;;;;;;9546;;5581;
070;Anhalt – Dessau – Wittenberg;15;Alternative für Deutschland;227852;236539;227852;236539;176334;158740;176334;158740;2020;1974;1314;1742;174314;156766;175020;156998;18253;31881;18381;40710;51473;48366;37579;35648;8426;9203;6829;8410;3715;10937;5112;14285;67245;32723;65554;31264;;;;;17744;14580;16654;13730;7458;5195;3270;3608;;;;1905;;2696;;2246;;;1296;1152;;;;;;;;553;;;861;202;;;;64;;;;;;;;;;;;146;;;;;;;;;;;128;122;;;;;;;;;;;;;;;;;;;406;;;;18950;;;;;;;;;;;1185;;2953;
071;Halle;15;–;224552;229809;224552;229809;173587;162935;173587;162935;2108;1726;1321;1552;171479;161209;172266;161383;30796;45274;20794;37952;38174;33934;31132;29727;9364;12989;15179;20459;5045;13021;6059;16508;52541;25956;49342;25077;;;;;27802;20708;26437;18275;2866;4015;1616;2795;;;;2048;;2449;;2199;2806;2335;1753;1689;;;;;;;;713;;;1660;385;;;;200;;;;;;;;;;;;295;;;;;;;;;496;399;192;205;;;;;;;;;;;;;;;;;1589;;557;;;;17545;;;;;;;;;;;129;;2856;
072;Burgenland – Saalekreis;15;Alternative für Deutschland;203597;210378;203597;210378;157348;142699;157348;142699;1771;1785;1142;1456;155577;140914;156206;141243;15652;31258;14168;32444;37716;36495;29389;29898;3751;4945;4583;5885;4615;13161;5127;14415;69071;36270;66134;34824;;;;;17032;14027;13524;12098;6312;502;2381;1891;;;;1764;;4256;;3035;;;1261;1135;;;;;;;;453;;;1010;195;;;;92;;;;;;;;;;;;144;;;;;;;;;;;109;118;;;;;;;;;;;;;;;;;;;430;;;;18090;;;;;;;;;;1428;0;;2852;
073;Mansfeld;15;Alternative für Deutschland;210496;217742;210496;217742;163262;145315;163262;145315;2594;1995;1609;1745;160668;143320;161653;143570;17211;32698;15494;34906;34087;35694;29811;31329;3196;4060;3974;5108;5527;11762;5230;13718;70307;35535;69616;33791;;;;;19697;16360;14485;13656;5615;4339;2168;2450;;;;1804;;2666;;2307;;;988;945;;;;;;;;374;;;616;137;;;;56;;;;;;;;;;;;121;;;;;;;;;;;105;113;;;;;;;;;;;;;;;;;;;420;;;;18746;;;;;;;;;;5028;206;;2755;
15;Sachsen-Anhalt;99;;1734716;1789775;1734716;1789775;1348053;1214761;1348053;1214761;17541;14583;10727;12821;1330512;1200178;1337326;1201940;183942;293197;146538;305085;313309;299363;256535;252286;48598;64326;59074;78701;37606;96084;41247;114024;515631;242065;496100;235492;;;;;165811;127576;143803;115330;42361;32152;18453;22509;;1969;;14483;;22554;;19213;5138;4416;11034;9763;;;;;;;;4067;;;8487;2097;;302;;846;;;;;;;;;;;;1415;;;;;;;;;1339;620;1187;1042;;;;;;;;;;;;;;;;;8480;;4540;;;;150328;;;;;;;;;;8297;15554;;25587;
;
074;Berlin-Mitte;11;BÜNDNIS 90/DIE GRÜNEN;207445;207010;207445;207010;161873;140655;161873;140655;1053;2061;889;1856;160820;138594;160984;138799;26816;30611;24189;28881;22933;19216;21677;16526;40671;42443;34920;42486;4586;8448;6422;11040;13706;7632;14291;7810;;;;;38520;19764;43614;19610;471;;303;746;1808;2700;1558;2473;;1809;;;1485;2785;973;2271;749;;526;2746;;809;;579;;1290;1781;1216;;199;;203;;;;;;;;209;;396;;333;;;;;;;;;131;193;85;88;;;;;;;217;;73;;56;42;;;50;36;201;;168;;8012;;9765;;658;;389;;;;;;;299;;1504;
075;Berlin-Pankow;11;BÜNDNIS 90/DIE GRÜNEN;235392;233069;235392;233069;199071;135593;199071;135593;2264;1459;931;1251;196807;134134;198140;134342;26103;21387;26046;20245;31921;23439;28627;22455;50855;35919;38821;34836;5407;4069;6555;4932;33174;19023;31087;19426;;;;;45010;19048;43182;19157;2357;1132;761;1087;;4125;2778;3866;;;;;;3411;1573;2947;;;224;533;;852;;622;;754;2235;983;;322;;241;;;;;;407;;290;;;;260;;;;;;;;;;;83;50;;;;;;;371;;;;54;46;812;;125;44;1168;;294;;;;15123;;;;201;;;;;;;246;;2322;
076;Berlin-Reinickendorf;11;Christlich Demokratische Union Deutschlands;172428;175195;172428;175195;134144;114070;134144;114070;1813;2361;1089;2118;132331;111709;133055;111952;28953;26901;22996;25740;40864;32972;35167;29580;17132;15523;17074;17477;4737;8333;5986;10331;23865;12583;23118;12731;;;;;15581;5194;15729;5067;;2154;455;1569;;3374;2535;3276;;888;;;;1555;742;1329;;;421;1216;;;;348;;;1012;445;;270;;146;;;;;;;;232;;;;179;;;;;;;;;;;40;22;;;;;;;247;;;;29;22;;;40;21;1199;;293;;;;7059;;;;112;;;;;;;1962;;2221;
077;Berlin-Spandau – Charlottenburg Nord;11;Sozialdemokratische Partei Deutschlands;176535;179896;176535;179896;133252;122863;133252;122863;1813;3048;1160;2908;131439;119815;132092;119955;36159;39062;24292;32853;34294;28647;31434;26158;12216;14004;14626;17193;4292;9954;5205;11798;25929;12440;25302;12780;;;;;15042;6484;17050;6074;;;410;1077;;4358;2740;4228;;1579;;;3105;2392;1064;1882;;;431;1849;;;;480;;;901;548;;281;;232;;;;;;;;365;;;;217;;;;;;;;;402;97;96;48;;;;;;;240;;;;33;30;;;49;52;;;160;;;;7908;;;;151;;;;;;;517;;2091;
078;Berlin-Steglitz-Zehlendorf;11;Christlich Demokratische Union Deutschlands;214757;217506;214757;217506;181872;171803;181872;171803;1697;2261;834;2223;180175;169542;181038;169580;40357;41371;32978;40677;55387;48530;48497;39905;39846;37751;35849;38460;7382;14929;10754;20813;18533;9277;18676;10036;;;;;15822;7196;20715;8076;1905;1398;653;1335;;3787;2205;3326;;1749;;;;1995;816;1669;;;336;1010;;666;;556;;;1718;1089;;361;;288;;;;;;398;;328;;;;262;;;;;;;;;;;26;13;;;;;;;301;;;;26;28;;;37;48;943;;253;;;;7073;;;;125;;;;;;;134;;1661;
079;Berlin-Charlottenburg-Wilmersdorf;11;Christlich Demokratische Union Deutschlands;195504;195586;195504;195586;162302;133235;162302;133235;1334;1419;759;1436;160968;131816;161543;131799;38183;33723;28927;28894;42271;33023;37333;29035;38672;33119;35121;35201;7062;10222;10335;13934;13869;7062;14328;7950;;;;;17861;7417;23464;8638;;1109;257;788;;2222;1462;2101;;1100;;;2462;1668;771;1476;;;280;893;;504;;398;;;1697;921;;170;;157;;;;;;;;105;;253;;243;;;;;;;;;;;25;20;;;;;;;174;;;;14;17;;;37;35;588;;185;;;;6982;;;;151;;;;;;;224;;993;
080;Berlin-Tempelhof-Schöneberg;11;BÜNDNIS 90/DIE GRÜNEN;229228;231477;229228;231477;186814;172069;186814;172069;1795;2613;1136;2731;185019;169456;185678;169338;37948;45220;32866;41215;45571;37902;38863;31751;45632;42680;36894;42791;5025;12041;7181;15633;20623;10013;20985;10921;;;;;22362;10177;32091;12706;;1567;458;1449;4466;4061;2612;3736;;1808;;;;2313;1010;2009;1809;;607;2350;;849;;644;;;1613;1094;;406;;310;;;;;;;;325;;;;233;;;;;;;;;;;61;41;;301;;;;;289;;;;42;36;236;;94;66;529;;248;;;;9519;;;;245;;;;;;818;118;;2028;
081;Berlin-Neukölln;11;Die Linke;192506;196593;192506;196593;146235;134004;146235;134004;1396;2926;1063;2480;144839;131078;145172;131524;27265;33880;22853;31498;28488;25173;26185;22400;16137;25790;22260;29474;2792;8240;4033;9325;18893;10047;18874;10089;;;;;43412;16943;36687;15616;832;;426;961;2654;3841;2207;3226;;1236;;;1335;2600;861;1973;2135;2326;704;3234;;;;451;;;975;645;;;;169;;;;;;;;275;;;;197;;;;;;;;;262;171;110;87;;;;;;;177;;;;32;34;;;36;61;506;;317;;;;8110;;;;325;;;;;;128;831;;1809;
082;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;11;Die Linke;218729;218824;218729;218824;180876;151276;180876;151276;1836;1644;736;1507;179040;149632;180140;149769;23516;24416;24137;26326;17940;12706;16721;11990;54769;56602;46622;55147;4272;6784;5010;7834;13846;6999;12996;7379;;;;;62050;27024;57056;27862;;;286;650;;2902;1772;2754;;1640;;;;7859;1489;3672;;;325;1801;;851;;670;;;2050;1214;;225;;201;;;;;;;;198;;448;;337;;;;;;;;;;170;98;99;;;;;;;241;;;;26;42;;;33;36;934;;245;;;;10643;;;;390;;;;;;1713;1006;;1557;
083;Berlin-Treptow-Köpenick;11;Die Linke;206841;206999;206841;206999;169813;156625;169813;156625;1133;2450;1030;2754;168680;154175;168783;153871;14472;23684;21403;35690;23747;21016;25858;20562;8081;15806;20226;24686;2961;8950;4949;12190;34646;17978;36410;19322;;;;;70572;54548;36609;24609;892;2331;761;2133;3235;4565;3017;4799;;1785;;;;2518;1294;2957;;;260;726;;;;596;;;1546;782;;447;;314;;;;;;;;549;;;;351;;;;;;;;;113;153;86;92;;;;;;;367;;;;27;34;100;;72;90;420;;299;;9441;;15471;;;;128;;;;;;;394;;3389;
084;Berlin-Marzahn-Hellersdorf;11;Alternative für Deutschland;195867;198002;195867;198002;149485;133719;149485;133719;1287;2658;1041;2870;148198;131061;148444;130849;12927;18901;16171;29991;43262;38914;24498;21887;6089;8064;8911;11207;1869;5859;3802;9372;43743;20980;46294;22665;;;;;24883;28572;24746;20755;1835;;1044;1301;;5375;3364;4990;;1408;;;;2665;1036;2108;;;196;509;;;;531;;;1136;606;;;;140;;;;;;;;709;;;;284;;;;;;;;;326;143;115;84;;;;;;;395;;;;47;48;;;63;97;511;;304;;12753;;16235;;;;87;;;;;;;180;;3565;
085;Berlin-Lichtenberg;11;Die Linke;196799;200461;196799;200461;155424;143826;155424;143826;1273;2719;1094;2659;154151;141107;154330;141167;13928;27413;18332;32403;27185;17696;21231;16891;8109;19179;16698;21777;2231;8463;3878;9796;33703;17415;34638;17916;;;;;52374;36409;36199;25840;851;2443;596;1857;3579;5821;3099;4823;;1768;;;;3818;1242;2906;;;221;620;;;;705;;;1546;928;;284;;212;;;;;;;;712;;;;339;;;;;;;;;;195;100;106;;;;;;;388;;;;39;49;155;;83;79;599;;288;;11437;;15613;;;;139;;;;;;;203;;3208;
11;Berlin;99;;2442031;2460618;2442031;2460618;1961161;1709738;1961161;1709738;18694;27619;11762;26793;1942467;1682119;1949399;1682945;326627;366569;295190;374413;413863;339234;356091;289140;338209;346880;328022;370735;52616;106292;74110;136998;294530;151449;296999;159025;;;;;423489;238776;387142;194010;9143;12134;6410;14953;15742;47131;29349;43598;;16770;;;8387;35579;12871;27199;4693;2326;4531;17487;;4531;;6580;;2044;18210;10471;;2965;;2613;;;;;;805;;4297;;1097;;3235;;;;;;;;;1234;1122;925;750;;301;;;;;3407;;73;;425;428;1303;;719;665;7598;;3054;;41643;;129501;;658;;2443;;;;;;2659;6114;;26348;
;
086;Aachen I;05;Christlich Demokratische Union Deutschlands;172442;176306;172442;176306;143849;140020;143849;140020;2902;1107;865;727;140947;138913;142984;139293;27720;33087;25205;30588;45545;35562;34180;31772;39377;41942;34769;40421;5916;10906;6870;15032;;5314;13891;5427;;;;;13162;6161;18398;7453;3338;849;403;531;;;970;1151;;1502;187;1342;;3058;743;1632;;;195;871;;;;542;3211;;1522;1389;;;;224;;;;;;;;72;;;;268;;;;53;;;;;;;36;30;;;;;;;241;33;;;;22;;;;;2678;;231;;;;5011;;;;93;;;;39;;;532;;440;
087;Aachen II;05;Christlich Demokratische Union Deutschlands;224835;226420;224835;226420;182360;170670;182360;170670;6369;1883;1396;1583;175991;168787;180964;169087;53748;58189;37902;53408;70536;54808;57089;49838;13269;19976;17002;19918;8190;12055;7599;17892;;12632;34578;12409;;;;;13329;4496;12303;5259;12918;2034;1284;1131;;;2531;2525;;1704;378;1587;;2893;882;1584;;;349;1012;;;;613;4001;;1026;471;;;;187;;;;;;;;188;;;;113;;;;43;;;;;;;27;23;;;;;;;275;52;;;;17;;;;;;;192;;;;7358;;;;80;;;;109;;;0;;817;
088;Heinsberg;05;Christlich Demokratische Union Deutschlands;192359;192346;192359;192346;157147;145368;157147;145368;1588;1649;1114;1397;155559;143719;156033;143971;29810;37249;26662;38822;64623;57095;54975;46466;11799;15368;13621;16858;4680;10691;6516;16023;30788;10965;31410;11359;;;;;8958;3608;9855;4529;2800;2288;1208;1375;;;2443;2334;;1554;449;1602;;4901;854;1929;;;250;438;;;;532;2101;;1076;382;;;;87;;;;;;;;210;;;;75;;;;53;;;;;;;22;18;;;;;;;285;47;;;;14;;;;;;;178;;;;6076;;;;48;;;;105;;;0;;818;
089;Düren;05;Christlich Demokratische Union Deutschlands;199302;199656;199302;199656;164549;153645;164549;153645;1449;1707;1130;1516;163100;151938;163419;152129;35854;46734;30306;44058;64996;55719;54483;46217;12153;14174;13843;16951;4591;11237;7006;17104;33137;12947;33517;13171;;;;;9105;3449;10498;4570;3264;2196;1178;1296;;;2549;2465;;1565;395;1545;;2298;835;1387;;;249;641;;1146;;730;;;916;514;;;;88;;;;;;;;222;;;;87;;;;162;;;;;;;31;12;;;;;;;323;54;;;;10;;;;;;;208;;;;6931;;;;44;;;;107;;;473;;845;
090;Rhein-Erft-Kreis I;05;Christlich Demokratische Union Deutschlands;247391;249035;247391;249035;207174;194862;207174;194862;1832;1909;1209;1461;205342;192953;205965;193401;53609;58858;40600;54714;71773;63635;65147;55068;20959;25409;23825;27566;7549;17542;10293;24227;34346;13537;34400;13417;;;;;13221;5889;14819;5682;2567;2132;1089;1439;;;2798;2767;;2218;443;1762;;;930;1446;;;460;1627;;2860;;1237;;;1391;708;;;;100;;;;;;;;215;;;;147;;;;65;;;;;;;30;27;;;;;;;371;70;;;;20;;;;;1318;;425;;;;8732;;;;82;;;;130;;;873;;1097;
091;Euskirchen – Rhein-Erft-Kreis II;05;Christlich Demokratische Union Deutschlands;248663;249198;248663;249198;207633;192814;207633;192814;2114;2031;1265;1540;205519;190783;206368;191274;42467;50892;36497;50949;78883;65981;69739;58081;19549;25005;22512;26161;8498;19805;9905;23314;37837;14999;37881;14894;;;;;11457;4993;12960;5730;2886;2724;1437;1628;;;2814;2828;;2505;595;2187;;2690;1028;1631;;;334;740;;1189;;825;2858;;1416;584;;;;133;;;;;;;;271;;;;138;;;;95;;;;;;;34;22;;;;;;;373;72;;;;19;;;;;1084;;476;;;;8171;;;;61;;;;135;;;0;;972;
092;Köln I;05;Sozialdemokratische Partei Deutschlands;190951;190630;190951;190630;153110;140901;153110;140901;1515;1097;877;821;151595;139804;152233;140080;37717;38985;29775;36933;37261;31636;33934;27695;30496;33405;27273;33501;4672;11490;6409;15040;20022;8789;18853;8363;;;;;16894;7213;22716;8267;1488;1108;580;753;;;1598;1704;;1615;297;1327;;2768;851;1607;;;344;1768;;;;548;2698;2353;1671;1340;;;;88;;;;;;;;127;;;;152;;;;72;;;;;347;181;96;64;;;;;;;310;67;;;;15;;;;;;;181;;;;7170;;;;125;;;;50;;;261;;649;
093;Köln II;05;BÜNDNIS 90/DIE GRÜNEN;243912;242483;243912;242483;214600;204955;214600;204955;1213;972;679;622;213387;203983;213921;204333;35124;40103;37916;43193;59925;50918;53426;41834;72858;70658;55085;65240;8061;16950;12933;26470;12775;5587;13444;5891;;;;;18454;8771;28762;10399;881;1369;432;792;;;1448;1646;;2005;237;1773;;3312;986;1898;;;215;1049;;;;558;4534;4111;2330;2323;;;;159;;;;;;;;127;;;;182;;;;83;;;;;;117;31;31;;;;;;;334;64;;;;12;;;;;567;;181;;;;6017;;;;90;;;;54;;208;82;;609;
094;Köln III;05;BÜNDNIS 90/DIE GRÜNEN;206670;204539;206670;204539;169135;155242;169135;155242;1314;1107;782;840;167821;154135;168353;154402;43307;46149;33496;39901;32638;28674;32522;27485;43697;43600;36769;44407;4773;10708;5715;13845;19459;8015;18860;7876;;;;;18806;8435;27502;9903;1322;1100;503;684;;;1745;1846;;1831;311;1605;;3143;958;1784;;;415;1937;;;;466;3074;2108;1632;1424;;;;121;;;;;;;;139;;;;135;;;;52;;;;;;113;62;72;;;;;745;;335;48;;;;11;;;;;;;153;;;;7190;;;;137;;;;48;;;259;;661;
095;Bonn;05;Christlich Demokratische Union Deutschlands;228611;230215;228611;230215;193693;185557;193693;185557;1651;1447;980;1113;192042;184110;192713;184444;41567;46251;34068;41641;63973;44872;50413;41551;46819;46467;44136;50174;4737;23198;9995;21902;15681;7448;17186;7750;;;;;14776;6675;23994;10026;934;1183;419;897;;;1252;1371;;2101;338;1823;;2700;877;1661;;;270;1817;;;;611;3018;2919;2147;1955;;;;162;;;;;;;;113;;;;196;;;;106;;;;;;138;59;57;;;;;537;;287;53;;;;12;;;;;;;128;;;;6911;;;;141;;;;92;;;158;;566;
096;Rhein-Sieg-Kreis I;05;Christlich Demokratische Union Deutschlands;238117;238627;238117;238627;199363;188217;199363;188217;1772;1751;1089;1393;197591;186466;198274;186824;44274;53213;35512;49529;70350;60776;63340;51474;22218;26270;24764;29305;8438;16604;9897;23122;34562;13045;34457;13604;;;;;11330;6242;13448;6353;3318;1929;1251;1392;;;2598;3021;;2951;510;2583;;3828;1089;2067;;;347;921;;;;804;3101;1006;1712;921;;;;156;;;;;;;;223;;;;153;;;;220;;;;;;;43;19;;;;;;;367;52;;;;23;;;;;;;270;;;;8457;;;;66;;;;146;;;602;;882;
097;Rhein-Sieg-Kreis II;05;Christlich Demokratische Union Deutschlands;214269;216063;214269;216063;183170;176637;183170;176637;1436;1317;891;1216;181734;175320;182279;175421;32287;41004;30333;41753;79638;70144;63717;51795;23157;26956;26800;31027;5879;13914;10261;23435;25830;10385;26034;10551;;;;;9770;4607;11888;5687;2139;1697;898;1303;;;1853;2215;;2285;436;2111;;2537;821;1530;;;269;855;;;;599;3034;1140;1650;1022;;;;166;;;;;;;;196;;;;135;;;;169;;;;;;;24;20;;;;;;;278;61;;;;10;;;;;;;205;;;;6637;;;;46;;;;129;;;651;;781;
098;Oberbergischer Kreis;05;Christlich Demokratische Union Deutschlands;204344;206640;204344;206640;169836;160146;169836;160146;1577;1639;1229;1472;168259;158507;168607;158674;34869;42461;29969;42413;62101;53757;53401;44018;14812;19015;16032;19959;5476;15636;7771;19796;36265;15071;35721;15211;;;;;10064;4587;10598;5153;2914;2246;1189;1434;;;2369;2426;;2847;589;2809;;2887;1010;1622;;;253;635;;;;652;1758;;1032;403;;;;183;;;;;;;;221;;;;104;;;;699;;;;;;;46;25;;;;;;;340;110;;;;18;;;;;;;302;;;;7737;;;;68;;;;180;;;0;;783;
099;Rheinisch-Bergischer Kreis;05;Christlich Demokratische Union Deutschlands;214554;217193;214554;217193;184451;176933;184451;176933;1295;1349;1001;1037;183156;175584;183450;175896;34423;39827;33924;44429;77303;52714;61967;48224;25245;31626;27582;32285;9053;29576;10199;24373;22757;9518;24340;10051;;;;;9308;4845;11972;5222;1692;3632;1002;1697;;;2152;2199;;2455;424;2247;;;859;1419;;;226;662;;;;554;2531;1391;1680;1144;;;;115;;;;;;;;208;;;;127;;;;132;;;;;;;74;27;;;;;;;303;41;;;;9;;;;;844;;323;;;;6243;;;;66;;;;114;;;0;;731;
100;Leverkusen – Köln IV;05;Sozialdemokratische Partei Deutschlands;206279;209102;206279;209102;165364;154163;165364;154163;1593;1403;1030;1163;163771;152760;164334;153000;53574;69662;34871;44586;41855;31197;40450;33246;18081;17290;23355;29329;5102;11050;6418;15931;25439;10797;25392;10966;;;;;14848;5657;19137;7318;1984;1479;695;918;;;2106;2081;;2222;364;1715;;2782;1100;2076;;;409;1669;;;;664;2558;;1475;996;;;;112;;;;;;;;216;;;;124;;;;100;;;;;330;212;117;96;;;;;;;287;57;;;;24;;;;;;;169;;;;7786;;;;100;;;;103;;;412;;776;
101;Wuppertal I;05;Sozialdemokratische Partei Deutschlands;196546;202528;196546;202528;152965;146699;152965;146699;1527;1741;1004;1300;151438;144958;151961;145399;50775;54065;30725;42421;36823;31960;35769;30527;13019;18932;19111;25388;4561;13756;6282;15970;27691;11995;27221;12090;;;;;13824;6742;18583;8055;1800;1544;672;964;;;1925;2159;;2068;354;1733;;2665;890;1674;;;326;1713;;;;533;1902;1028;1171;732;;;;97;;;;;;;;152;;;;123;;;;115;;;;;;203;93;122;;;;;;;259;49;;;;30;;;;;;;149;;;;8242;;;;98;;;;91;;1043;0;;752;
102;Solingen – Remscheid – Wuppertal II;05;Christlich Demokratische Union Deutschlands;216618;220204;216618;220204;173656;163495;173656;163495;1511;1526;1091;1277;172145;161969;172565;162218;47237;52852;34679;48196;55860;44778;49129;39413;14997;20967;19322;24296;5555;17406;8171;20256;31911;12335;31539;12506;;;;;12886;5099;14540;6076;;1662;669;1086;;;2327;2521;;2233;404;1913;;3398;1138;2044;;;418;1312;;;;624;2646;;1325;470;;;;99;;;;;;;;194;;;;174;;;;83;;;;;429;169;109;80;;;;;;;305;70;;;;13;;;;;;;258;;;;8072;;;;81;;;;79;;624;1070;;792;
103;Mettmann I;05;Christlich Demokratische Union Deutschlands;200861;203030;200861;203030;167725;159457;167725;159457;1481;1561;996;1149;166244;157896;166729;158308;37459;39326;31486;42385;60821;47326;53525;43354;20715;36095;21296;25430;7480;14873;9418;21083;26198;10704;25930;10658;;;;;10712;4252;11506;4956;;1818;680;1117;;;2253;2260;;1845;338;1632;;;825;1474;;;340;1321;;;;652;2859;;1399;571;;;;104;;;;;;;;208;;;;94;;;;98;;;;;;;37;22;;;;;;;350;77;;;;14;;;;;;;203;;;;6968;;;;57;;;;118;;;1657;;798;
104;Mettmann II;05;Christlich Demokratische Union Deutschlands;156872;160175;156872;160175;129858;123769;129858;123769;1231;1172;761;877;128627;122597;129097;122892;32170;37635;25094;34409;46153;38429;41355;33254;14237;17730;14517;18112;5007;11158;6816;16235;22096;8894;21731;9104;;;;;8542;3395;9158;3887;;1166;500;759;;;1767;1656;;1366;225;1210;;2258;728;1293;;;241;851;;;;613;;;837;312;;;;79;;;;;;;;183;;;;85;;221;;154;;;;;422;99;76;59;;;;;;;250;34;;;;15;;;;;;;129;;;;5538;;;;55;;;;80;;;246;;588;
105;Düsseldorf I;05;Christlich Demokratische Union Deutschlands;224440;220827;224440;220827;187087;175110;187087;175110;1412;1162;764;807;185675;173948;186323;174303;39355;38955;32067;38195;67117;54158;56471;44892;32269;36926;34049;39452;9883;24242;14550;27743;18226;7002;18535;7495;;;;;13318;5094;17731;6741;1026;1089;475;851;;;1562;1635;;1802;270;1535;;2531;815;1561;;;275;1315;;;;516;3353;1546;1843;1108;;;;110;;;;;;;;143;;;;165;;;;42;;;;;292;104;92;49;;;;;;;329;52;;;;12;;;;;836;;295;;;;6750;;;;108;;;;106;;;499;;691;
106;Düsseldorf II;05;Christlich Demokratische Union Deutschlands;188871;190102;188871;190102;151917;142287;151917;142287;1309;1153;778;855;150608;141134;151139;141432;34737;41169;28534;35671;43286;34801;38007;31639;27347;30201;25780;31524;6249;14143;8236;17335;19575;8214;19608;8503;;;;;14022;5418;17790;6931;934;1307;480;859;;;1669;1831;;1549;234;1280;;2967;771;1572;;;314;1674;;;;517;2641;1189;1570;873;;;;90;;;;;;;;147;;;;141;;;;49;;;;;370;176;80;66;;;;;;;232;55;;;;16;;;;;729;;231;;;;7243;;;;126;;718;;234;;;0;;659;
107;Neuss I;05;Christlich Demokratische Union Deutschlands;210819;213250;210819;213250;173213;162167;173213;162167;1653;1605;1032;1201;171560;160562;172181;160966;46410;51391;32057;43760;62250;57445;56599;48166;14559;18051;18439;21951;7267;12932;9019;20333;29039;10801;29147;11298;;;;;12035;4153;12781;4771;;;706;861;;;2418;2367;;2052;499;1748;;3617;919;1774;;;418;1393;;;;607;;;1023;480;;;;108;;;;;;;;231;;;;125;;;;61;;;;;;;50;29;;;;;;;329;50;;;;25;;;;;;;176;;;;7389;;;;87;;;;125;;;120;;828;
108;Mönchengladbach;05;Christlich Demokratische Union Deutschlands;181209;185185;181209;185185;140093;129646;140093;129646;1647;1707;974;1241;138446;127939;139119;128405;36398;37548;26039;34877;50180;45550;42525;36555;13648;17302;13843;18166;4553;10957;6325;15459;25290;9915;25127;9641;;;;;;;13206;4927;1478;1422;657;850;;;2016;2013;;1821;313;1343;3454;3105;860;1562;;;228;907;;;;467;2169;;851;310;;;;111;;;;;;;;166;;;;109;;;;33;;;;;;;32;24;;;;;;;207;49;;;;12;;;;;917;;269;;;;6368;;;;108;;359;;145;;;319;;824;
109;Krefeld I – Neuss II;05;Christlich Demokratische Union Deutschlands;196586;200048;196586;200048;164175;155726;164175;155726;1494;1520;931;1132;162681;154206;163244;154594;36512;39253;29573;39407;61543;51500;55632;45635;17840;24383;20007;24014;8910;18781;10106;22069;23769;9150;23886;9342;;;;;10838;4319;11476;4680;3269;1980;1033;981;;;2103;2111;;1759;372;1528;;2918;827;1610;;;330;975;;;;580;;;913;379;;;;117;;;;;;;;155;;;;103;;;;94;;;;;;163;48;44;;;;;;;301;36;;;;16;;;;;;;197;;;;6277;;;;66;;;;97;;;0;;718;
